name, addr, lon, lat
에이치피 서울,봉은사로6길 34 지상 2층, 127.1246453, 37.4871922
윌로뜨,선릉로148길 48 미준빌딩 3층, 127.0434301, 37.5228153
자매의 부엌,압구정로10길 40, 127.0220195, 37.5208983
조인바이트,선릉로112길 13, 127.0445989, 37.5114941
청담오후,선릉로 708 2층, 127.0411314, 37.5181689
틴틴 강남점,봉은사로2길 19, 127.0261472, 37.50354220000001
호쿠모쿠,압구정로46길 5-12 1층, 127.0377047, 37.52788049999999
UPPERWEST,도산대로15길 25, 127.023592, 37.5197985
33acre,아리수로61길 33, 127.1498221, 37.563133
닐리 고덕점,동남로73길 31 2층, 127.1544004, 37.5527665
담금 올림픽점,성내로18길 37, 127.1284273, 37.52530970000001
심플잇,천면로100길 11 1층 101호, 127.1717121, 37.5503648
라포레스타,월계로 173, 127.0406246, 37.6214312
공간녹음,공항대로 227 403호 마곡센트럴타워 1차, 126.832897, 37.5591136
애견동반식당 사랑봄,신원로3가길 6, 126.9276702, 37.4813305
해밀,서해안로18길 24, 126.8375515, 37.4882942
비단콤마,상도로30길 40 상가 A동 107호, 126.9429325, 37.5039763
23플래터,잔다리로3안길 36 1층, 126.9193423, 37.55042419999999
38도씨식당,와우산로17길 19-17 2층, 126.921578, 37.5493886
르팔러,양화로 45 103동 1층 175호 (서교동 메세나폴리스, 126.9134767, 37.5489656
마레스타,월드컵북로4길 15, 126.9206122, 37.5571908
아로,동교로8길 39 1층, 126.9056101, 37.5503067
얼띵앤키친,토정로5길 22, 126.9185635, 37.54639879999999
이응이응이응이응,독막로 63-1 1층 2층 정원 및 루프탑, 126.9206978, 37.5480344
장화신은고양이,월드컵로19길 16 지하, 126.9081978, 37.5567076
카페 뚜또 페르 뚜띠,동교로 149-16, 126.9181098, 37.55562
풀스트릿,동교로51안길 16 풀스트릿, 126.9246108, 37.5652285
훌라훌라,희우정로10길 4, 126.9046156, 37.5526068
July 16th,와우산로23길 35-6 3층, 126.923292, 37.55453649999999
로라,증가로32길 23-8 1층, 126.9120482, 37.5848694
마우디,연희로11길 18, 126.9301042, 37.5674559
희게,증가로 1 2층, 126.9319079, 37.5686237
다 피타 시그니처,서초대로 3-4 1층 106호, 126.9830638, 37.4860394
모나크비스트로,잠원로 145-57 메리모나크 3층, 127.0078431, 37.51923049999999
문쥬스,서초대로25길 33 1층, 126.9934482, 37.48917749999999
미스터처비,방배로26길 19 2층, 126.9938955, 37.4893876
미스터처비 반포점,사평대로45길 10-25, 127.0139319, 37.5065936
파스타 트리오,강남대로 545-15 미주빌딩 102호, 127.0204248, 37.51015719999999
푸드더즈매터,서래로1길 10 1층, 126.9970973, 37.49620120000001
HIDE 방배,방배중앙로 164, 126.9865405, 37.4936595
누메로도스,상원1길 35-9, 127.0473209, 37.54632350000001
누메로뜨레스,성수일로 21 1층, 127.0485921, 37.5425602
아치,서울숲2길 20-12, 127.0407314, 37.5467585
코시나,성수일로11길 8 선일빌딩1층, 127.0507211, 37.5491207
포피나,서울숲2길 13 1층, 127.0401893, 37.5472921
dooop,서울숲2길 16-8 1층, 127.0402181, 37.5469895
도이칠란드 박,솔샘로6길 30-15 1층, 127.0069599, 37.6087743
빌라드코스테스,화랑로5길 4, 127.0390983, 37.60270879999999
이태리맨션,동소문로26마길 2-4 1층, 127.0212281, 37.5937778
쵸이양식,동소문로20나길 26-1 2층, 127.0180602, 37.592253
테레,"정릉로27길 40 지하1층, 1~2층", 127.0136753, 37.6055013
wnch,고려대로7길 48 1층, 127.020147, 37.58802920000001
라코즈,백제고분로45길 40 a동 2층 201호, 127.1074854, 37.5109904
로얄테라스가든,올림픽로 300, 127.103495, 37.5130605
빈티지 1981,석촌호수로 194 태호빌딩 2층, 127.0985653, 37.50620200000001
옐로우팟,송파대로 167 문정역테라타워 1차 A동 120호, 127.1258648, 37.48452320000001
쿠치나 디 까사,"송파대로 201 송파테라타워2 A동 1층 A-110, 111호", 127.1195202, 37.487033
포지타노,"오금로15길 12 1,2층", 127.1096469, 37.512616
하이윤,송파대로40길 1-26, 127.1088066, 37.5041433
가정경양,목동동로 437 향도 드림네스트 1층 101호, 126.8309393, 37.5305468
미노파스타,목동중앙본로 36 102호, 126.8692991, 37.5395468
부부부엌,목동중앙본로 117 1층, 126.8712096, 37.5459742
비스트로406,목동동로 226, 126.8719545, 37.5256756
웨이브스,도림로 434-11, 126.8950318, 37.5148173
1989 비스트로,회나무로13가길 37 1층, 126.9916238, 37.5410035
라샌독 오스테리아,이태원로54길 62-9 1층, 127.0006764, 37.5353401
리틀넥한남,한남대로27길 66 1층, 127.0029806, 37.5396132
몽크스부처,이태원로 228-1 대로변 3층 4층, 126.9991935, 37.5354302
살팀보카,한강대로76길 11-36 1층, 126.9737383, 37.5423332
쇼니노,한강대로21길 17-18 1층, 126.9633671, 37.5263125
시우어게인,녹사평대로 210-6 5층, 126.987420, 37.536385
쌤쌤쌤,한강대로50길 25 1층, 126.9721504, 37.5315423
윤세영식당,한남대로 164, 127.0024599, 37.5425156
카키스터프,회나무로13가길 46-8, 126.991972, 37.5406875
꼰떼,창의문로5길 6-1 1층, 126.9638127, 37.5921974
베테카텐,삼청로7길 7 1층, 126.9812918, 37.5837024
봉심식당,대학로11길 38-23 지하1층, 127.0006727, 37.58275830000001
빠리가옥,수표로28길 33-4, 126.990229, 37.5732578
파란대문,창의문로 168, 126.9638782, 37.59476859999999
1번지남산돈가스커피,소파로 91, 126.9849067, 37.55669969999999
브레라,동호로17길 295 대명빌딩2층, 127.006931, 37.5483438
사마리칸트,마른내로 159-10, 127.0059114, 37.5649968
동백별관,장제로 714, 126.7342232, 37.5313149
그래잇,부평문화로65번길 19, 126.723371, 37.494922
음식남녀,우현로72번길 3-11 1층, 126.6305309, 37.473711
에베레스트 스타필드 하남점,미사대로 750 스타필드 하남 1층, 127.2230712, 37.5448222
인딕슬로우,압구정로4길 13, 127.0203205, 37.5218699
질할브로스 청담점,압구정로79길 32 1층, 127.0498222, 37.52498620000001
베제투스,신흥로 59, 126.9872559, 37.5436774
라이프 카레앤커피,일산서구 일산로803번길 13 1층, 126.7480624, 37.6719169
소코아,일산동구 산두로 53 1층, 126.7888253, 37.6630097
이누네코식당,덕양구 신원로 16 1층, 126.8899736, 37.6620694
모나미카레,팔달구 화서문로17번길 52 1층, 127.0120389, 37.28664699999999
저스트텐동 양평점,용문면 용문산로 255, 127.599693, 37.52005279999999
모던한옥카페 핑크마티니,처인구 동부로 823, 127.2770423, 37.1892309
하다식당,풍성로 105 1층, 127.1239992, 37.5323961
구찌짱,도봉로10가길 12 지하1층, 127.0310535, 37.61297700000001
길회뜨다횟집,신림로59길 12 양지순대촌 별동, 126.9293133, 37.4837435
멘쇼우라멘,남부순환로230길 25, 126.95556 3,7.47909480000001
바다수다,쑥고개로 73-1 1층, 126.9447482, 37.4795763
경양카츠 상수점,와우산로 25, 126.9226902, 37.5467344
미자카야,포은로8길 5 1층, 126.90503 3,7.5563869
시바카야 라카세,독막로9길 3 1층 좌측, 126.9193959, 37.5485415
키친숲,동교로 256-10 1층, 126.9251461, 37.56239869999999
하카타분코,독막로19길 43, 126.9237503, 37.5488759
유가츠,서울숲4길 12-7 B1, 127.0423639, 37.5473277
윤경양식당,서울숲2길 40, 127.0429686, 37.5463743
들숨날숨,보문로32길 84 1층, 127.0207482, 37.5903634
담소스키야키,백제고분로31길 32 1층 103호, 127.0958177, 37.50542009999999
하코야 문래역점,당산로 34, 126.8964798, 37.517425
봉쥬르스고이,회나무로 32 B1, 126.9901764, 37.53941340000001
정거장뒤,가좌로 185, 126.9202116, 37.5874469
헤르지아,소파로 97, 126.9854786, 37.5567542
까멜,일산동구 중앙로1261번길 17 1층, 126.7729475, 37.6579384
명월관,일산동구 강송로87번길 36, 126.7874619, 37.64642349999999
화약,일산동구 일산로358번길 5-26 1층, 126.7838063, 37.66797650000001
와이키키,분당구 판교로319번길 13 107호, 127.0679137, 37.8260757
